k,ruta,paso,sim
12,SWS,4,-0.0035164563450962305
12,SWS,5,0.017684975638985634
12,SWS,6,0.0006558076711371541
13,REM,0,1.0000001192092896
13,REM,1,0.743031919002533
13,REM,2,0.2852413058280945
13,REM,3,0.3614000082015991
13,REM,4,-0.04514794796705246
13,REM,5,-0.017409026622772217
13,REM,6,-0.1256895512342453
13,SWS,0,1.0000001192092896
13,SWS,1,0.6834911704063416
13,SWS,2,0.4456039369106293
13,SWS,3,0.18907643854618073
13,SWS,4,0.22856996953487396
13,SWS,5,0.22454886138439178
13,SWS,6,0.24918639659881592
14,REM,0,1.0000001192092896
14,REM,1,0.6950473785400391
14,REM,2,0.46029821038246155
14,REM,3,0.07111331075429916
14,REM,4,0.21593518555164337
14,REM,5,0.07761657983064651
14,REM,6,0.13484519720077515
14,SWS,0,1.0000001192092896
14,SWS,1,0.7232442498207092
14,SWS,2,0.4094045162200928
14,SWS,3,0.17548133432865143
14,SWS,4,-0.1179480254650116
14,SWS,5,-0.11450312286615372
14,SWS,6,-0.10328131169080734
15,REM,0,0.9999998807907104
15,REM,1,0.653464674949646
15,REM,2,0.34061160683631897
15,REM,3,-0.002967236563563347
15,REM,4,-0.026466192677617073
15,REM,5,-0.15567514300346375
15,REM,6,-0.0984928160905838
15,SWS,0,0.9999998807907104
15,SWS,1,0.6355221271514893
15,SWS,2,0.48419925570487976
15,SWS,3,0.16539832949638367
15,SWS,4,0.21126413345336914
15,SWS,5,0.032015275210142136
15,SWS,6,-0.10511331260204315
16,REM,0,1.0
16,REM,1,0.7258908152580261
16,REM,2,0.42423489689826965
16,REM,3,0.2774712145328522
16,REM,4,0.031848639249801636
16,REM,5,0.36777737736701965
16,REM,6,0.21318377554416656
16,SWS,0,1.0
16,SWS,1,0.6561083793640137
16,SWS,2,0.3969258666038513
16,SWS,3,0.11046081781387329
16,SWS,4,0.1120491474866867
16,SWS,5,0.2063407599925995
16,SWS,6,0.16910704970359802
17,REM,0,1.0
17,REM,1,0.6939364671707153
17,REM,2,0.44396325945854187
17,REM,3,0.30651405453681946
17,REM,4,-0.03650086000561714
17,REM,5,0.12135367840528488
17,REM,6,0.03828619047999382
17,SWS,0,1.0
17,SWS,1,0.7093926072120667
17,SWS,2,0.4301314651966095
17,SWS,3,0.18840645253658295
17,SWS,4,0.2499147355556488
17,SWS,5,0.24974863231182098
17,SWS,6,0.23586896061897278
18,REM,0,1.0
18,REM,1,0.7132119536399841
18,REM,2,0.4005531072616577
18,REM,3,0.16789202392101288
18,REM,4,-0.014535349793732166
18,REM,5,0.13532893359661102
18,REM,6,0.028797022998332977
18,SWS,0,1.0
18,SWS,1,0.6822375059127808
18,SWS,2,0.3665846288204193
18,SWS,3,0.2957363724708557
18,SWS,4,0.04481806606054306
18,SWS,5,0.12579575181007385
18,SWS,6,0.2216339111328125
19,REM,0,1.0
19,REM,1,0.6790496706962585
19,REM,2,0.3965396285057068
19,REM,3,0.1786581575870514
19,REM,4,0.025047667324543
19,REM,5,0.1330154538154602
19,REM,6,0.09717998653650284
19,SWS,0,1.0
19,SWS,1,0.7579536437988281
19,SWS,2,0.2836241126060486
19,SWS,3,0.23754703998565674
19,SWS,4,0.037152208387851715
19,SWS,5,-0.06488842517137527
19,SWS,6,-0.016297658905386925
20,REM,0,1.0000001192092896
20,REM,1,0.7361263632774353
20,REM,2,0.4887963533401489
20,REM,3,0.1454215943813324
20,REM,4,-0.07559165358543396
20,REM,5,-0.05304601788520813
20,REM,6,-0.23009657859802246
20,SWS,0,1.0000001192092896
20,SWS,1,0.6729825735092163
20,SWS,2,0.2709788978099823
20,SWS,3,0.3520972728729248
20,SWS,4,-0.3325152099132538
20,SWS,5,0.12240809202194214
20,SWS,6,-0.04629769176244736
21,REM,0,1.0000001192092896
21,REM,1,0.6295837163925171
21,REM,2,0.429951548576355
21,REM,3,0.0502869114279747
21,REM,4,0.26521268486976624
21,REM,5,0.007247184868901968
21,REM,6,0.008682501502335072
21,SWS,0,1.0000001192092896
21,SWS,1,0.7192491292953491
21,SWS,2,0.34555110335350037
21,SWS,3,0.11147912591695786
21,SWS,4,0.18026049435138702
21,SWS,5,0.15340512990951538
21,SWS,6,0.055986177176237106
22,REM,0,1.0000001192092896
22,REM,1,0.6574975848197937
22,REM,2,0.36789995431900024
22,REM,3,0.19057855010032654
22,REM,4,0.11755963414907455
22,REM,5,0.34706348180770874
22,REM,6,0.27704933285713196
22,SWS,0,1.0000001192092896
22,SWS,1,0.6707818508148193
22,SWS,2,0.40041613578796387
22,SWS,3,-0.04723318666219711
22,SWS,4,0.10580577701330185
22,SWS,5,-0.0001485791872255504
22,SWS,6,0.06815440952777863
23,REM,0,1.0
23,REM,1,0.7562817335128784
23,REM,2,0.3819297254085541
